player_name_fbref,player_name_tm,club,league,season,position_group,age,minutes_played,market_value_eur,predicted_market_value_eur,market_value_gap_eur,market_value_gap_pct,inefficiency_score_z,growth_score,confidence_score,opportunity_score,opportunity_tier,matching_confidence,matching_method
Iker Muñoz,Iker Muñoz,Osasuna,LaLiga,2023-2024,MID,21.10335386721424,1854,5000000.0,5389067.918449643,389067.9184496431,0.0778135836899286,0.1193787856536627,99.99998899808593,86.41666666666667,87.02109973752431,target_scouting,0.85,exact_age_validated
Ilario Monterisi,Ilario Monterisi,Frosinone,Serie A,2023-2024,DEF,21.80971937029432,1469,1500000.0,3630492.964815065,2130492.964815065,1.4203286432100433,1.0617825345747365,63.89231250162032,85.23055555555557,86.7308483688561,target_scouting,1.0,exact_age_club_validated
Jesus Rodríguez,Jesús Rodríguez,Real Betis,LaLiga,2024-2025,MID,18.89664613278576,1111,700000.0,5937091.945530024,5237091.945530024,5.0,2.3196196230899084,25.47546039762014,76.01944444444445,86.26640407880855,target_scouting,0.85,exact_age_validated
Eren Dinkçi,Eren Dinkçi,Heidenheim,Bundesliga,2023-2024,MID,21.84531143052704,2650,3000000.0,9922723.61955824,6922723.619558239,2.3075745398527463,1.42560846692068,45.70105279109474,86.41666666666667,85.82619892902014,target_scouting,0.85,exact_age_validated
Jarell Quansah,Jarell Quansah,Liverpool,Premier League,2023-2024,DEF,20.692676249144423,1190,2000000.0,6195650.056587502,4195650.056587502,2.097825028293751,1.3492872547813937,63.89232320009983,74.55555555555557,85.70707760611289,target_scouting,0.85,exact_age_validated
Jakob Breum,Jakob Breum,Go Ahead Eagles,Eredivisie,2024-2025,MID,20.908966461327857,2059,1500000.0,5755744.74438899,4255744.74438899,2.837163162925993,1.598623902613845,26.14170513363474,95.83333333333334,85.65047602442323,target_scouting,1.0,exact_age_club_validated
Carlos Dominguez,Carlos Domínguez,Celta Vigo,LaLiga,2023-2024,DEF,22.858316221765914,1584,700000.0,7838272.314550837,7138272.314550837,5.0,2.3196196230899084,7.286191099360021,88.25833333333334,85.44541920930082,target_scouting,0.85,exact_age_validated
Pau Navarro,Pau Navarro,Villarreal,LaLiga,2024-2025,DEF,19.64955509924709,916,500000.0,2938274.3170720204,2438274.3170720204,4.876548634144041,2.095165517344876,40.27674072040429,69.2277777777778,85.18288261994174,target_scouting,0.85,exact_age_validated
Chadi Riad,Chadi Riad,Real Betis,LaLiga,2023-2024,DEF,20.32306639288159,2164,1000000.0,4010313.597137768,3010313.597137768,3.0103135971377672,1.6500400184411774,34.19739599015837,86.41666666666667,84.8004443964735,target_scouting,0.85,exact_age_validated
Hugo Sotelo,Hugo Sotelo,Celta Vigo,LaLiga,2023-2024,MID,19.81656399726215,721,500000.0,3041289.010121037,2541289.010121037,5.0,2.135308339429505,41.97459989017914,65.43611111111112,84.54445386450243,target_scouting,0.85,exact_age_validated
Geny Catamo,Geny Catamo,Sporting CP,Liga Portugal,2023-2024,MID,22.67214236824093,1684,1500000.0,5367704.995528987,3867704.995528986,2.578469997019325,1.5173131072958446,39.33614777856725,85.8277777777778,84.48823396497887,target_scouting,0.85,exact_age_validated
Patrick Dorgu,Patrick Dorgu,Lecce,Serie A,2023-2024,DEF,18.95687885010267,1564,2500000.0,4720324.003428662,2220324.003428662,0.8881296013714649,0.7725074526369564,73.71932726789737,81.82777777777778,84.48598371323628,target_scouting,0.85,exact_age_validated
João Gonçalves,João Gonçalves,Boavista,Liga Portugal,2023-2024,GK,22.89664613278576,3060,500000.0,1454272.0149332362,954272.0149332362,1.9085440298664724,1.2758402554366626,40.27674072040429,91.66666666666669,84.1591281254376,target_scouting,1.0,exact_age_club_validated
Cole Palmer,Cole Palmer,Chelsea,Premier League,2023-2024,MID,21.182751540041068,2607,18000000.0,91617421.26102786,73617421.26102786,4.08985673672377,1.927739767338853,13.978897748714436,92.08333333333334,84.07081558674044,target_scouting,0.85,exact_age_validated
Gaetano Oristanio,Gaetano Oristanio,Cagliari,Serie A,2023-2024,MID,21.03490759753593,1104,1500000.0,8858163.312329998,7358163.312329998,4.905442208219998,2.100879233772297,26.14170513363474,77.05000000000001,83.79549908289293,target_scouting,0.85,exact_age_validated
Arthur Atta,Arthur Atta,Udinese,Serie A,2024-2025,MID,21.927446954141,1251,1000000.0,7244173.1482627485,6244173.1482627485,5.0,2.3196196230899084,10.053674839749371,82.40833333333335,83.6013639763886,target_scouting,0.85,exact_age_validated
Ilaix Moriba,Ilaix Moriba,Celta Vigo,LaLiga,2024-2025,MID,21.93839835728953,2132,4000000.0,18956112.559742525,14956112.559742523,3.7390281399356313,1.8445422241739136,14.454693535314805,93.08333333333334,83.51514001574421,target_scouting,0.85,exact_age_validated
Mason Greenwood,Mason Greenwood,Getafe,LaLiga,2023-2024,MID,21.916495550992472,2662,5000000.0,33869890.77640487,28869890.77640488,5.0,2.2607261545891912,0.9406250372380488,90.25,83.1643027129305,target_scouting,0.85,exact_age_validated
William Osula,William Osula,Sheffield United,Premier League,2023-2024,ATT,20.18069815195072,786,1000000.0,4562220.432833058,3562220.432833058,3.562220432833058,1.8002479606215105,48.23170767273699,66.70000000000002,82.58026530021002,target_scouting,0.85,exact_age_validated
Moussa Diarra,Moussa Diarra,Toulouse,Ligue 1,2023-2024,DEF,22.92950034223135,1397,1500000.0,6464589.031796773,4964589.031796773,3.3097260211978488,1.7339217203024293,31.596473139527344,80.87222222222222,82.32052392133325,target_scouting,0.85,exact_age_validated
Cristhian Mosquera,Cristhian Mosquera,Valencia,LaLiga,2023-2024,DEF,19.29363449691992,3075,2000000.0,6918094.995312755,4918094.995312755,2.459047497656377,1.477772477108798,34.19740401402804,86.41666666666667,82.25578260020231,target_scouting,0.85,exact_age_validated
Arthur Zagre,Arthur Zagré,Excelsior,Eredivisie,2023-2024,DEF,22.034223134839152,2313,850000.0,3690675.272678501,2840675.272678501,3.341970909033531,1.7426052603188955,13.299568969089476,93.67857142857144,81.86737004638942,target_scouting,0.85,exact_age_validated
Rafa Marín,Rafa Marín,Alavés,LaLiga,2023-2024,DEF,21.40177960301164,2443,3000000.0,4403010.194110865,1403010.1941108648,0.4676700647036216,0.4790456382308615,71.81502240666526,86.41666666666667,81.69820638095662,target_scouting,0.85,exact_age_validated
Hélio Varela,Hélio Varela,Portimonense,Liga Portugal,2023-2024,MID,21.4072553045859,2743,500000.0,2428671.6020076266,1928671.6020076263,3.857343204015253,1.873269221310864,19.66307817607741,84.47222222222223,81.65324343484582,target_scouting,0.85,exact_age_validated
Luca Marianucci,Luca Marianucci,Empoli,Serie A,2024-2025,DEF,20.40520191649555,1069,800000.0,2260864.9064369453,1460864.9064369453,1.8260811330461817,1.242334554003782,60.31270565962471,72.2027777777778,81.61476861144305,target_scouting,0.85,exact_age_validated
Matìas Soulé,Matías Soulé,Frosinone,Serie A,2023-2024,MID,20.490075290896645,3121,8000000.0,25282322.64999118,17282322.64999118,2.160290331248897,1.372543785839348,33.2567849947001,88.08333333333334,81.16934062284189,target_scouting,0.85,exact_age_validated
Junior Kadile,Junior Kadile,Almere City,Eredivisie,2024-2025,MID,22.0041067761807,2207,500000.0,2501614.796693139,2001614.7966931388,4.003229593386277,1.9077422585762631,6.295018383809746,92.25,80.95815897013871,target_scouting,0.85,exact_age_validated
Etienne Youte Kinkoue,Étienne Youté Kinkoué,Le Havre,Ligue 1,2023-2024,DEF,21.924709103353862,1941,1800000.0,2510905.4924097164,710905.4924097164,0.3949474957831757,0.4198438860438118,71.81500457585918,86.41666666666667,80.82369587095722,target_scouting,0.85,exact_age_validated
Antony,Antony,Manchester Utd,Premier League,2023-2024,MID,22.76249144421629,1324,2500000.0,14362971.081364386,11862971.081364386,4.7451884325457545,2.0688297193320206,10.053674839749371,83.82777777777778,80.59763595049996,target_scouting,0.85,exact_age_validated
Bart van Rooij,Bart van Rooij,NEC Nijmegen,Eredivisie,2023-2024,DEF,22.55441478439425,1975,1000000.0,4130086.8757230174,3130086.8757230183,3.1300868757230185,1.6843231697551613,11.359054184785498,94.19444444444444,80.52889500577028,target_scouting,0.85,exact_age_validated
Yan Couto,Yan Couto,Girona,LaLiga,2023-2024,DEF,21.36071184120465,2245,8000000.0,27572790.693921,19572790.693921,2.446598836740125,1.4735724315477956,25.233356534736107,89.75000000000001,80.45691180550054,target_scouting,0.85,exact_age_validated
